Battery_Type,Brand,Problem,Repairable,Action
Li-ion,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹566
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹276
NiMH,Duracell,Overheating,Yes,Repair - Approx Cost ₹942
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Low Backup,Yes,Repair - Approx Cost ₹806
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹705
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1251
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹920
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹264
Li-ion,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Low Backup,Yes,Repair - Approx Cost ₹890
Li-ion,Duracell,Low Backup,Yes,Repair - Approx Cost ₹635
Lead-Acid,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Overheating,Yes,Repair - Approx Cost ₹1363
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹693
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹1472
Li-ion,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Voltage Drop,Yes,Repair - Approx Cost ₹296
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1281
Lead-Acid,Panasonic,Overheating,Yes,Repair - Approx Cost ₹674
NiMH,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1392
Li-ion,Samsung,Overheating,Yes,Repair - Approx Cost ₹632
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹788
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Not Charging,Yes,Repair - Approx Cost ₹810
NiMH,Amaron,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹690
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Low Backup,Yes,Repair - Approx Cost ₹732
Li-Polymer,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹308
Lead-Acid,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹559
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Overheating,Yes,Repair - Approx Cost ₹1402
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹1149
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1075
NiMH,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹1463
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹478
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Overheating,Yes,Repair - Approx Cost ₹1063
Lead-Acid,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Overheating,Yes,Repair - Approx Cost ₹1104
NiMH,Duracell,Overheating,Yes,Repair - Approx Cost ₹1385
NiMH,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹365
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹595
Li-Polymer,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1402
Li-ion,Sony,Overheating,Yes,Repair - Approx Cost ₹363
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1004
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Low Backup,Yes,Repair - Approx Cost ₹512
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹549
Li-ion,Amaron,Not Charging,Yes,Repair - Approx Cost ₹773
NiMH,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹326
Li-ion,Exide,Low Backup,Yes,Repair - Approx Cost ₹1388
Li-ion,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹797
Li-Polymer,LG,Overheating,Yes,Repair - Approx Cost ₹1157
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Overheating,Yes,Repair - Approx Cost ₹295
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1008
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Low Backup,Yes,Repair - Approx Cost ₹684
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹578
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹1150
Li-ion,Amaron,Low Backup,Yes,Repair - Approx Cost ₹772
NiMH,Sony,Low Backup,Yes,Repair - Approx Cost ₹360
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹737
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹1208
Li-Polymer,Sony,Overheating,Yes,Repair - Approx Cost ₹1364
NiMH,Exide,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1371
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1494
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1245
Lead-Acid,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Low Backup,Yes,Repair - Approx Cost ₹925
Lead-Acid,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Low Backup,Yes,Repair - Approx Cost ₹689
NiMH,Samsung,Overheating,Yes,Repair - Approx Cost ₹1093
NiMH,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹1029
NiMH,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,LG,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹1402
NiMH,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹295
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹588
Li-ion,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹983
Li-ion,LG,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹487
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹960
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹1376
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Not Charging,Yes,Repair - Approx Cost ₹218
Li-ion,Exide,Not Charging,Yes,Repair - Approx Cost ₹1409
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹622
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹956
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹1471
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹1368
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹317
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹630
Li-ion,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹217
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹692
Li-ion,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1086
Lead-Acid,Sony,Overheating,Yes,Repair - Approx Cost ₹1009
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹709
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Overheating,Yes,Repair - Approx Cost ₹1185
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹973
Li-ion,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹742
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1270
NiMH,Samsung,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹784
Lead-Acid,Amaron,Overheating,Yes,Repair - Approx Cost ₹806
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹952
Li-Polymer,Sony,Overheating,Yes,Repair - Approx Cost ₹1185
Li-ion,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹898
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Low Backup,Yes,Repair - Approx Cost ₹796
Li-ion,Sony,Overheating,Yes,Repair - Approx Cost ₹1351
Li-ion,Exide,Low Backup,Yes,Repair - Approx Cost ₹756
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹915
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹238
Li-ion,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1208
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Overheating,Yes,Repair - Approx Cost ₹838
Lead-Acid,Amaron,Overheating,Yes,Repair - Approx Cost ₹1465
Lead-Acid,Exide,Overheating,Yes,Repair - Approx Cost ₹349
NiMH,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Not Charging,Yes,Repair - Approx Cost ₹945
Lead-Acid,Exide,Overheating,Yes,Repair - Approx Cost ₹294
Li-Polymer,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹837
Li-ion,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Low Backup,Yes,Repair - Approx Cost ₹437
Li-Polymer,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹722
Li-Polymer,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Overheating,Yes,Repair - Approx Cost ₹337
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹926
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Low Backup,Yes,Repair - Approx Cost ₹1248
Li-Polymer,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹648
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹1302
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹671
Li-Polymer,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹1143
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1292
